batch_size,epochs,tag,accuracy
256,3,--padding--,0.9957662703449968
256,3,N,0.9957662703449968
256,3,V,0.9957662703449968
256,3,PREP,0.9957662703449968
256,3,CUR,0.9957662703449968
256,3,NUM,0.9957662703449968
256,3,PREP+ART,0.9957662703449968
256,3,NPROP,0.9957662703449968
256,3,PU,0.9957662703449968
256,3,PROADJ,0.9957662703449968
256,3,PRO-KS,0.9957662703449968
256,3,ADJ,0.9957662703449968
256,3,KC,0.9957662703449968
256,3,ART,0.9957662703449968
256,3,KS,0.9957662703449968
256,3,PCP,0.9957662703449968
256,3,ADV,0.9957662703449968
256,3,PROPESS,0.9957662703449968
256,3,PREP+PROADJ,0.9957662703449968
256,3,PDEN,0.9957662703449968
256,3,PROSUB,0.9957662703449968
256,3,PREP+PROPESS,0.9957662703449968
256,3,ADV-KS,0.9957662703449968
256,3,PREP+PRO-KS,0.9957662703449968
256,3,PREP+PROSUB,0.9957662703449968
256,3,IN,0.9957662703449968
256,3,PREP+ADV,0.9957662703449968
